household_id,head_name,phone,parish,address,gps_lat,gps_long,household_size,vulnerability_flags
H0001,Dennis Clarke,8765551000,St. Andrew,Address 0,18.30651895819109,-76.92422402282092,6,Elderly
H0002,Omar Scott,8765551001,St. Thomas,Address 1,17.994684373275682,-78.1255126770173,7,None
H0003,Janelle Reid,8765551002,Kingston,Address 2,18.279659154842385,-77.26175172777744,4,None
H0004,Janelle Reid,8765551003,Hanover,Address 3,17.919643586876653,-77.32795570278267,2,Infants
H0005,Althea Johnson,8765551004,St. Elizabeth,Address 4,18.253969941763525,-77.77139414574724,1,Elderly
H0006,Dennis Clarke,8765551005,St. Andrew,Address 5,18.371503894452786,-77.7096853595662,6,Disabilities
H0007,Kevin Smith,8765551006,St. Ann,Address 6,18.43365465689702,-78.20643887403577,3,Elderly
H0008,Althea Johnson,8765551007,St. Elizabeth,Address 7,17.95014219233937,-76.52895071275546,5,Disabilities
H0009,Janelle Reid,8765551008,St. Elizabeth,Address 8,17.725695478136117,-77.44224801297638,5,None
H0010,Althea Johnson,8765551009,Trelawny,Address 9,18.26095267163825,-78.03785542053116,6,None
H0011,Janelle Reid,8765551010,Portland,Address 10,18.158802928446583,-77.93186655786415,3,Disabilities
H0012,Marcia Brown,8765551011,St. Catherine,Address 11,18.27244055261826,-78.21572644589196,7,Elderly
H0013,Dennis Clarke,8765551012,Trelawny,Address 12,18.111553712515278,-76.7635114602853,3,Infants
H0014,Janelle Reid,8765551013,St. Andrew,Address 13,18.073103676764624,-76.84925960909412,1,None
H0015,Marcia Brown,8765551014,St. Elizabeth,Address 14,18.422878812761457,-77.83123292786735,2,Infants
H0016,Kevin Smith,8765551015,St. Ann,Address 15,17.769880425216982,-77.35816949611832,4,None
H0017,Marcia Brown,8765551016,St. Thomas,Address 16,17.97175774437401,-77.06470575522017,3,None
H0018,Dennis Clarke,8765551017,St. Thomas,Address 17,18.421427523713287,-76.35207945775468,1,None
H0019,Althea Johnson,8765551018,St. Elizabeth,Address 18,17.981102853076685,-76.47018728266298,1,Disabilities
H0020,Janelle Reid,8765551019,St. Catherine,Address 19,18.350325289283766,-76.34845127810944,6,Disabilities
H0021,Marcia Brown,8765551020,Westmoreland,Address 20,17.891373307473426,-76.23479286027319,7,Infants
H0022,Janelle Reid,8765551021,Westmoreland,Address 21,17.972852637612053,-76.92733263607715,4,Infants
H0023,Kevin Smith,8765551022,St. Catherine,Address 22,18.369799002072757,-77.64427061982958,7,Disabilities
